Concentraciones horarias para NO2 red GDL 2007

Fecha,Hora,AGU,CEN,LDO,MIR,OBL
2007-01-15,6,26.000000,24.000000,23.000000,39.000000,21.000000
2007-01-15,7,46.000000,24.000000,21.000000,39.000000,20.000000
2007-01-15,8,155.000000,34.000000,23.000000,37.000000,16.000000
2007-01-15,9,235.000000,31.000000,21.000000,42.000000,16.000000
2007-01-15,10,109.000000,24.000000,28.000000,49.000000,20.000000
2007-01-15,11,37.000000,23.000000,27.000000,58.000000,21.000000
2007-01-15,12,44.000000,23.000000,27.000000,59.000000,19.000000
2007-01-15,13,32.000000,23.000000,16.000000,34.000000,18.000000
2007-01-15,14,21.000000,25.000000,15.000000,39.000000,24.000000
2007-01-15,15,20.000000,24.000000,31.000000,42.000000,28.000000
2007-01-15,16,17.000000,31.000000,30.000000,40.000000,23.000000
2007-01-15,17,15.000000,25.000000,32.000000,58.000000,14.000000
2007-01-15,18,14.000000,24.000000,33.000000,86.000000,17.000000
2007-01-15,19,14.000000,24.000000,41.000000,86.000000,26.000000
2007-01-15,20,30.000000,23.000000,33.000000,75.000000,29.000000
2007-01-15,21,42.000000,24.000000,28.000000,64.000000,38.000000
2007-01-15,22,27.000000,23.000000,37.000000,52.000000,34.000000
2007-01-15,23,35.000000,24.000000,31.000000,47.000000,26.000000
2007-01-15,24,88.000000,25.000000,31.000000,49.000000,25.000000
2007-01-16,1,89.000000,23.000000,29.000000,50.000000,23.000000
2007-01-16,2,89.000000,23.000000,31.000000,57.000000,25.000000
2007-01-16,3,31.000000,25.000000,34.000000,53.000000,26.000000
2007-01-16,4,25.000000,24.000000,32.000000,53.000000,26.000000
2007-01-16,5,39.000000,23.000000,25.000000,51.000000,20.000000
2007-01-16,6,27.000000,23.000000,27.000000,51.000000,20.000000
2007-01-16,7,70.000000,23.000000,24.000000,45.000000,19.000000
2007-01-16,8,117.000000,23.000000,24.000000,42.000000,16.000000
2007-01-16,9,227.000000,24.000000,18.000000,51.000000,11.000000
2007-01-16,10,96.000000,23.000000,23.000000,63.000000,21.000000
2007-01-16,11,50.000000,25.000000,20.000000,45.000000,18.000000
2007-01-16,12,24.000000,23.000000,17.000000,30.000000,14.000000
2007-01-16,13,19.000000,24.000000,12.000000,31.000000,16.000000
2007-01-16,14,14.000000,24.000000,13.000000,32.000000,16.000000
2007-01-16,15,14.000000,24.000000,12.000000,30.000000,17.000000
2007-01-16,16,13.000000,24.000000,10.000000,33.000000,16.000000
2007-01-16,17,13.000000,23.000000,10.000000,34.000000,16.000000
2007-01-16,18,15.000000,23.000000,13.000000,43.000000,19.000000
2007-01-16,19,19.000000,23.000000,22.000000,48.000000,35.000000
2007-01-16,20,32.000000,25.000000,32.000000,64.000000,40.000000
2007-01-16,21,20.000000,24.000000,32.000000,60.000000,35.000000
2007-01-16,22,14.000000,24.000000,35.000000,34.000000,33.000000
2007-01-16,23,12.000000,24.000000,27.000000,32.000000,28.000000
2007-01-16,24,11.000000,25.000000,24.000000,30.000000,18.000000
2007-01-17,1,11.000000,23.000000,29.000000,30.000000,16.000000
2007-01-17,2,12.000000,24.000000,27.000000,33.000000,12.000000
2007-01-17,3,12.000000,23.000000,24.000000,30.000000,12.000000
2007-01-17,4,16.000000,23.000000,16.000000,41.000000,11.000000
2007-01-17,5,24.000000,23.000000,19.000000,38.000000,12.000000
2007-01-17,6,17.000000,24.000000,24.000000,41.000000,18.000000
2007-01-17,7,44.000000,23.000000,22.000000,40.000000,19.000000
2007-01-17,8,166.000000,24.000000,25.000000,42.000000,12.000000
2007-01-17,9,185.000000,24.000000,21.000000,44.000000,20.000000
2007-01-17,10,111.000000,23.000000,33.000000,51.000000,24.000000
2007-01-17,11,48.000000,23.000000,22.000000,46.000000,18.000000
2007-01-17,12,26.000000,24.000000,18.000000,33.000000,14.000000
2007-01-17,13,17.000000,24.000000,14.000000,30.000000,14.000000
2007-01-17,14,15.000000,26.000000,10.000000,27.000000,15.000000
2007-01-17,15,14.000000,24.000000,9.000000,26.000000,16.000000
2007-01-17,16,13.000000,24.000000,9.000000,29.000000,15.000000
