Fecha,Hora,AGU,ATM,CEN,LDO,MIR,OBL,VAL
2008-01-17,11,,,63.000000,9.000000,21.000000,,27.000000
2008-01-17,12,,,49.000000,11.000000,11.000000,,11.000000
2008-01-17,13,,,48.000000,9.000000,9.000000,,11.000000
2008-01-17,14,,,47.000000,13.000000,6.000000,,8.000000
2008-01-17,15,,,47.000000,10.000000,5.000000,,9.000000
2008-01-17,16,,,46.000000,11.000000,4.000000,,9.000000
2008-01-17,17,,,50.000000,14.000000,6.000000,,12.000000
2008-01-17,18,,,61.000000,26.000000,11.000000,,23.000000
2008-01-17,19,,,66.000000,31.000000,16.000000,,27.000000
2008-01-17,20,,,66.000000,33.000000,21.000000,,31.000000
2008-01-17,21,,,64.000000,32.000000,21.000000,,28.000000
2008-01-17,22,,,69.000000,28.000000,17.000000,,24.000000
2008-01-17,23,,,65.000000,30.000000,19.000000,,24.000000
2008-01-18,00,,,65.000000,34.000000,18.000000,,23.000000
2008-01-18,01,,,63.000000,26.000000,15.000000,,22.000000
2008-01-18,02,,,62.000000,28.000000,9.000000,,8.000000
2008-01-18,03,,,61.000000,19.000000,17.000000,,10.000000
2008-01-18,04,,,62.000000,22.000000,18.000000,,18.000000
2008-01-18,05,,,59.000000,31.000000,17.000000,,22.000000
2008-01-18,06,,,61.000000,32.000000,11.000000,,24.000000
2008-01-18,07,,,63.000000,43.000000,7.000000,,29.000000
2008-01-18,08,,,68.000000,44.000000,9.000000,,32.000000
2008-01-18,09,,,83.000000,49.000000,21.000000,,48.000000
2008-01-18,10,,,102.000000,41.000000,21.000000,,34.000000
2008-01-18,11,,,89.000000,20.000000,18.000000,,17.000000
2008-01-18,12,,,66.000000,19.000000,12.000000,,13.000000
2008-01-18,13,,,46.000000,20.000000,6.000000,,10.000000
2008-01-18,14,,,43.000000,17.000000,5.000000,,9.000000
2008-01-18,15,,,46.000000,14.000000,5.000000,,10.000000
2008-01-18,16,,,46.000000,14.000000,5.000000,,12.000000
2008-01-18,17,,,50.000000,14.000000,8.000000,,14.000000
2008-01-18,18,,,58.000000,24.000000,13.000000,,22.000000
