Fecha,Hora,AGU,ATM,LDO,MIR,OBL,PIN,TLA,VAL
2012-01-11,05,17.000000,36.000000,45.000000,136.000000,36.000000,255.000000,68.000000,24.000000
2012-01-11,06,17.000000,50.000000,51.000000,180.000000,130.000000,214.000000,79.000000,26.000000
2012-01-11,07,22.000000,75.000000,98.000000,220.000000,146.000000,247.000000,152.000000,32.000000
2012-01-11,08,23.000000,130.000000,141.000000,250.000000,143.000000,240.000000,166.000000,35.000000
2012-01-11,09,21.000000,144.000000,152.000000,208.000000,133.000000,447.000000,140.000000,15.000000
2012-01-11,10,19.000000,106.000000,111.000000,138.000000,144.000000,245.000000,120.000000,23.000000
2012-01-11,11,18.000000,74.000000,87.000000,66.000000,75.000000,,115.000000,23.000000
2012-01-11,12,18.000000,80.000000,95.000000,49.000000,104.000000,,72.000000,24.000000
2012-01-11,13,13.000000,79.000000,121.000000,25.000000,135.000000,,77.000000,22.000000
2012-01-11,14,5.000000,11.000000,91.000000,8.000000,71.000000,44.000000,35.000000,
2012-01-11,15,,20.000000,79.000000,31.000000,53.000000,57.000000,49.000000,
2012-01-11,16,5.000000,24.000000,41.000000,8.000000,82.000000,60.000000,2.000000,9.000000
2012-01-11,17,8.000000,49.000000,78.000000,52.000000,85.000000,68.000000,53.000000,16.000000
2012-01-11,18,12.000000,63.000000,108.000000,60.000000,105.000000,152.000000,72.000000,16.000000
2012-01-11,19,31.000000,132.000000,131.000000,87.000000,93.000000,224.000000,84.000000,25.000000
2012-01-11,20,28.000000,130.000000,150.000000,85.000000,154.000000,397.000000,103.000000,15.000000
2012-01-11,21,25.000000,72.000000,237.000000,71.000000,140.000000,250.000000,117.000000,14.000000
2012-01-11,22,16.000000,47.000000,127.000000,17.000000,74.000000,130.000000,76.000000,13.000000
2012-01-11,23,9.000000,29.000000,136.000000,52.000000,72.000000,95.000000,86.000000,12.000000
2012-01-12,00,12.000000,37.000000,80.000000,45.000000,64.000000,58.000000,62.000000,12.000000
2012-01-12,01,9.000000,37.000000,42.000000,29.000000,55.000000,39.000000,34.000000,12.000000
2012-01-12,02,7.000000,33.000000,33.000000,13.000000,36.000000,44.000000,24.000000,9.000000
2012-01-12,03,8.000000,26.000000,16.000000,15.000000,32.000000,91.000000,16.000000,8.000000
2012-01-12,04,12.000000,22.000000,32.000000,39.000000,42.000000,171.000000,23.000000,12.000000
2012-01-12,05,11.000000,30.000000,27.000000,87.000000,112.000000,161.000000,24.000000,14.000000
2012-01-12,06,13.000000,52.000000,51.000000,148.000000,117.000000,142.000000,50.000000,19.000000
2012-01-12,07,19.000000,103.000000,121.000000,146.000000,149.000000,195.000000,119.000000,26.000000
2012-01-12,08,22.000000,116.000000,184.000000,159.000000,145.000000,359.000000,111.000000,33.000000
2012-01-12,09,21.000000,106.000000,131.000000,168.000000,131.000000,327.000000,98.000000,25.000000
2012-01-12,10,18.000000,97.000000,138.000000,133.000000,110.000000,197.000000,100.000000,28.000000
2012-01-12,11,28.000000,59.000000,122.000000,85.000000,78.000000,67.000000,121.000000,31.000000
2012-01-12,12,30.000000,57.000000,122.000000,75.000000,101.000000,71.000000,72.000000,26.000000
2012-01-12,13,17.000000,82.000000,117.000000,30.000000,142.000000,59.000000,80.000000,24.000000
2012-01-12,14,7.000000,52.000000,99.000000,30.000000,110.000000,53.000000,48.000000,14.000000
2012-01-12,15,2.000000,9.000000,91.000000,25.000000,71.000000,57.000000,44.000000,
2012-01-12,16,4.000000,37.000000,78.000000,11.000000,46.000000,53.000000,15.000000,9.000000
2012-01-12,17,8.000000,46.000000,73.000000,45.000000,87.000000,89.000000,57.000000,17.000000
2012-01-12,18,18.000000,74.000000,119.000000,55.000000,122.000000,168.000000,74.000000,25.000000
