Fecha,Hora,AGU,CEN,LDO,MIR,OBL,VAL
2009-01-07,10,43.000000,28.000000,48.000000,20.000000,72.000000,67.000000
2009-01-07,11,29.000000,17.000000,34.000000,15.000000,64.000000,50.000000
2009-01-07,12,27.000000,17.000000,28.000000,12.000000,60.000000,40.000000
2009-01-07,13,27.000000,20.000000,25.000000,11.000000,66.000000,38.000000
2009-01-07,14,21.000000,17.000000,24.000000,8.000000,67.000000,30.000000
2009-01-07,15,18.000000,15.000000,21.000000,10.000000,69.000000,26.000000
2009-01-07,16,23.000000,19.000000,25.000000,12.000000,70.000000,27.000000
2009-01-07,17,20.000000,36.000000,29.000000,17.000000,73.000000,33.000000
2009-01-07,18,40.000000,56.000000,73.000000,45.000000,77.000000,35.000000
2009-01-07,19,48.000000,66.000000,89.000000,49.000000,104.000000,44.000000
2009-01-07,20,73.000000,70.000000,98.000000,57.000000,99.000000,48.000000
2009-01-07,21,70.000000,77.000000,99.000000,61.000000,103.000000,60.000000
2009-01-07,22,68.000000,83.000000,99.000000,55.000000,101.000000,78.000000
2009-01-07,23,57.000000,76.000000,96.000000,51.000000,134.000000,69.000000
2009-01-08,00,29.000000,68.000000,86.000000,48.000000,144.000000,51.000000
2009-01-08,01,33.000000,67.000000,90.000000,43.000000,146.000000,47.000000
2009-01-08,02,37.000000,56.000000,89.000000,44.000000,135.000000,54.000000
2009-01-08,03,41.000000,45.000000,85.000000,45.000000,114.000000,44.000000
2009-01-08,04,37.000000,43.000000,54.000000,39.000000,98.000000,44.000000
2009-01-08,05,36.000000,39.000000,52.000000,36.000000,85.000000,47.000000
2009-01-08,06,32.000000,41.000000,69.000000,33.000000,85.000000,47.000000
2009-01-08,07,32.000000,43.000000,75.000000,31.000000,65.000000,51.000000
2009-01-08,08,36.000000,61.000000,82.000000,38.000000,125.000000,61.000000
2009-01-08,09,53.000000,67.000000,101.000000,49.000000,120.000000,87.000000
2009-01-08,10,73.000000,61.000000,103.000000,47.000000,116.000000,98.000000
2009-01-08,11,49.000000,70.000000,55.000000,33.000000,103.000000,72.000000
2009-01-08,12,63.000000,48.000000,50.000000,23.000000,54.000000,80.000000
2009-01-08,13,43.000000,41.000000,44.000000,21.000000,36.000000,61.000000
2009-01-08,14,42.000000,31.000000,45.000000,20.000000,36.000000,51.000000
2009-01-08,15,38.000000,34.000000,45.000000,35.000000,44.000000,42.000000
2009-01-08,16,38.000000,24.000000,58.000000,24.000000,48.000000,35.000000
2009-01-08,17,30.000000,18.000000,64.000000,31.000000,45.000000,36.000000
2009-01-08,18,45.000000,66.000000,74.000000,80.000000,28.000000,49.000000
